Hashtag,Post Count
dog,276932047
dogdays,1831934
dogwalk,4314668
dogwalking,3625373
doggo,21044781
dogart,911307
dogwalker,3563685
dogofinstagram,6483023
dogportrait,1493224
dogsmile,1166380
dogtrainer,1392412
dogselfie,1500983
doggroomer,1506334
dogphoto,1588395
dogstyle,2538746
doginstagram,2231497
doggrooming,2977008
instadog,85953445
dogtraining,4388132
dogmodel,5588240
dogsitting,8915937
dogmom,9440426
dogstagram,92271453
dogphotography,8785983
doglove,14154206
doglife,29342326
dogoftheday,50375712
doglover,54666726
dogs,116407941
doglovers,30410091
dogsofinstagram,207836060
